app_class,scenario,device,app,vm,energy
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
HighResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,102.91777399999967
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,12.823499999997003
LowResTwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,12.70173928571231
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,60.871946900001014
LowResTwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_detector_1,120.20250575999603
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_tracker,63.612158228572525
LowResTwoDCNSApps,Router_Proxy,d-0 ,dcns_0,object_detector,63.6612274857153
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Proxy,m-0-0 ,dcns_0,motion_detector,68.55349599999933
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Proxy,m-0-1 ,dcns_0,motion_detector,68.55349599999933
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Proxy,m-0-2 ,dcns_0,motion_detector,68.55349599999933
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_1,motion_detector_1,66.92543799999933
LowResTwoDCNSApps,Router_Proxy,m-0-3 ,dcns_0,motion_detector,68.55349599999933
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,user_interface_1,16.068000000001778
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_tracker_1,103.72394285713293
TwoDCNSApps,Router_Cloud,cloud ,dcns_1,object_detector_1,196.40393142855618
TwoDCNSApps,Router_Cloud,cloud ,dcns_0,user_interface,13.373078571425586
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_tracker,63.49715215714387
TwoDCNSApps,Router_Cloud,d-0 ,dcns_0,object_detector,123.11936641428557
