app_class,scenario,tuple,execution_time
TwoDCNSApps,Proxy_Only,DETECTED_OBJECT,{'0.1111607142856883'}
TwoDCNSApps,Proxy_Only,OBJECT_LOCATION,{'9.897924804684774'}
TwoDCNSApps,Proxy_Only,CAMERA,{'4.099999999999909'}
TwoDCNSApps,Proxy_Only,OBJECT_LOCATION_1,{'9.898491210937227'}
TwoDCNSApps,Proxy_Only,MOTION_VIDEO_STREAM_1,{'1254.0883646767466'}
TwoDCNSApps,Proxy_Only,CAMERA_1,{'4.099999999999909'}
TwoDCNSApps,Proxy_Only,DETECTED_OBJECT_1,{'0.1111607142856883'}
HighResTwoDCNSApps,Proxy_Only,"[motion_detector, object_detector, object_tracker]",{'597.632968994029'}
HighResTwoDCNSApps,Proxy_Only,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
HighResTwoDCNSApps,Proxy_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'553.2228682977451'}
HighResTwoDCNSApps,Proxy_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'}
HighResTwoDCNSApps,Proxy_Only,MOTION_VIDEO_STREAM,{'1208.4439553251186'}
HighResTwoDCNSApps,Proxy_Only,DETECTED_OBJECT,{'0.1224776785714674'}
HighResTwoDCNSApps,Proxy_Only,OBJECT_LOCATION,{'5.1255097268541014'}
HighResTwoDCNSApps,Proxy_Only,CAMERA,{'898.7701825360457'}
HighResTwoDCNSApps,Proxy_Only,OBJECT_LOCATION_1,{'4.3873246192874475'}
HighResTwoDCNSApps,Proxy_Only,MOTION_VIDEO_STREAM_1,{'1074.5977273728736'}
HighResTwoDCNSApps,Proxy_Only,CAMERA_1,{'4.099999999999909'}
HighResTwoDCNSApps,Proxy_Only,DETECTED_OBJECT_1,{'0.1111613954816286'}
LowResTwoDCNSApps,Proxy_Only,"[motion_detector, object_detector, object_tracker]",{'34.33113610798616'}
LowResTwoDCNSApps,Proxy_Only,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
LowResTwoDCNSApps,Proxy_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'729.565765920825'}
LowResTwoDCNSApps,Proxy_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'}
LowResTwoDCNSApps,Proxy_Only,MOTION_VIDEO_STREAM,{'34.977333333333355'}
LowResTwoDCNSApps,Proxy_Only,DETECTED_OBJECT,{'0.10558035714279866'}
LowResTwoDCNSApps,Proxy_Only,OBJECT_LOCATION,{'34.90000000000009'}
LowResTwoDCNSApps,Proxy_Only,CAMERA,{'4.099999999999909'}
LowResTwoDCNSApps,Proxy_Only,OBJECT_LOCATION_1,{'9.898859863281341'}
LowResTwoDCNSApps,Proxy_Only,MOTION_VIDEO_STREAM_1,{'1433.4344464429516'}
LowResTwoDCNSApps,Proxy_Only,CAMERA_1,{'4.099999999999909'}
LowResTwoDCNSApps,Proxy_Only,DETECTED_OBJECT_1,{'0.11115446908130774'}
TwoDCNSApps,Proxy_Cloud,"[motion_detector, object_detector, object_tracker]",{'7.437142857143002'}
TwoDCNSApps,Proxy_Cloud,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
TwoDCNSApps,Proxy_Cloud,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.97857142856897'}
TwoDCNSApps,Proxy_Cloud,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
TwoDCNSApps,Proxy_Cloud,MOTION_VIDEO_STREAM,{'2.971809523809452'}
TwoDCNSApps,Proxy_Cloud,DETECTED_OBJECT,{'0.1111607142856883'}
TwoDCNSApps,Proxy_Cloud,OBJECT_LOCATION,{'1.5285714285714675'}
TwoDCNSApps,Proxy_Cloud,CAMERA,{'4.099999999999909'}
TwoDCNSApps,Proxy_Cloud,OBJECT_LOCATION_1,{'0.1945173040963535'}
TwoDCNSApps,Proxy_Cloud,MOTION_VIDEO_STREAM_1,{'0.2932380952381209'}
TwoDCNSApps,Proxy_Cloud,CAMERA_1,{'4.099999999999909'}
TwoDCNSApps,Proxy_Cloud,DETECTED_OBJECT_1,{'0.27857142857146755'}
HighResTwoDCNSApps,Proxy_Cloud,"[motion_detector, object_detector, object_tracker]",{'97.31457070707039'}
HighResTwoDCNSApps,Proxy_Cloud,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
HighResTwoDCNSApps,Proxy_Cloud,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.92857142857164'}
HighResTwoDCNSApps,Proxy_Cloud,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
HighResTwoDCNSApps,Proxy_Cloud,MOTION_VIDEO_STREAM,{'104.90933894021599'}
HighResTwoDCNSApps,Proxy_Cloud,DETECTED_OBJECT,{'0.09116576854319061'}
HighResTwoDCNSApps,Proxy_Cloud,OBJECT_LOCATION,{'9.847265625000082'}
HighResTwoDCNSApps,Proxy_Cloud,CAMERA,{'898.7701825360457'}
HighResTwoDCNSApps,Proxy_Cloud,OBJECT_LOCATION_1,{'0.1945173040963535'}
HighResTwoDCNSApps,Proxy_Cloud,MOTION_VIDEO_STREAM_1,{'0.2932380952381209'}
HighResTwoDCNSApps,Proxy_Cloud,CAMERA_1,{'4.099999999999909'}
HighResTwoDCNSApps,Proxy_Cloud,DETECTED_OBJECT_1,{'0.27857142857146755'}
LowResTwoDCNSApps,Proxy_Cloud,"[motion_detector, object_detector, object_tracker]",{'5.8685714285713155'}
LowResTwoDCNSApps,Proxy_Cloud,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
LowResTwoDCNSApps,Proxy_Cloud,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.87857142857266'}
LowResTwoDCNSApps,Proxy_Cloud,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
LowResTwoDCNSApps,Proxy_Cloud,MOTION_VIDEO_STREAM,{'1.5359047619047943'}
LowResTwoDCNSApps,Proxy_Cloud,DETECTED_OBJECT,{'0.10558035714279868'}
LowResTwoDCNSApps,Proxy_Cloud,OBJECT_LOCATION,{'1.5285714285714675'}
LowResTwoDCNSApps,Proxy_Cloud,CAMERA,{'4.099999999999909'}
LowResTwoDCNSApps,Proxy_Cloud,OBJECT_LOCATION_1,{'0.1945173040963535'}
LowResTwoDCNSApps,Proxy_Cloud,MOTION_VIDEO_STREAM_1,{'0.2932380952381209'}
LowResTwoDCNSApps,Proxy_Cloud,CAMERA_1,{'4.099999999999909'}
LowResTwoDCNSApps,Proxy_Cloud,DETECTED_OBJECT_1,{'0.27857142857146755'}
TwoDCNSApps,Cloud_Only,"[motion_detector, object_detector, object_tracker]",{'104.7655900621113'}
TwoDCNSApps,Cloud_Only,"[object_tracker, PTZ_CONTROL]",{'105.11199999999992'}
TwoDCNSApps,Cloud_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'105.14317519937995'}
TwoDCNSApps,Cloud_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
TwoDCNSApps,Cloud_Only,MOTION_VIDEO_STREAM,{'0.32799999999992907'}
TwoDCNSApps,Cloud_Only,DETECTED_OBJECT,{'0.23393156097245082'}
TwoDCNSApps,Cloud_Only,OBJECT_LOCATION,{'0.11788984248299098'}
TwoDCNSApps,Cloud_Only,CAMERA,{'4.099999999999909'}
TwoDCNSApps,Cloud_Only,OBJECT_LOCATION_1,{'0.19412580679218927'}
TwoDCNSApps,Cloud_Only,MOTION_VIDEO_STREAM_1,{'0.44431119176801825'}
TwoDCNSApps,Cloud_Only,CAMERA_1,{'4.099999999999909'}
TwoDCNSApps,Cloud_Only,DETECTED_OBJECT_1,{'0.27857142857146755'}
HighResTwoDCNSApps,Cloud_Only,"[motion_detector, object_detector, object_tracker]",{'105.35613275613207'}
HighResTwoDCNSApps,Cloud_Only,"[object_tracker, PTZ_CONTROL]",{'105.11199999999992'}
HighResTwoDCNSApps,Cloud_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.99553571428655'}
HighResTwoDCNSApps,Cloud_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
HighResTwoDCNSApps,Cloud_Only,MOTION_VIDEO_STREAM,{'0.6657732371375223'}
HighResTwoDCNSApps,Cloud_Only,DETECTED_OBJECT,{'0.263430466270852'}
HighResTwoDCNSApps,Cloud_Only,OBJECT_LOCATION,{'0.1715187518537234'}
HighResTwoDCNSApps,Cloud_Only,CAMERA,{'898.7701825360457'}
HighResTwoDCNSApps,Cloud_Only,OBJECT_LOCATION_1,{'0.2886335150351375'}
HighResTwoDCNSApps,Cloud_Only,MOTION_VIDEO_STREAM_1,{'0.30374213663754257'}
HighResTwoDCNSApps,Cloud_Only,CAMERA_1,{'4.099999999999909'}
HighResTwoDCNSApps,Cloud_Only,DETECTED_OBJECT_1,{'0.24985994397239164'}
LowResTwoDCNSApps,Cloud_Only,"[motion_detector, object_detector, object_tracker]",{'104.53928571428457'}
LowResTwoDCNSApps,Cloud_Only,"[object_tracker, PTZ_CONTROL]",{'105.11199999999992'}
LowResTwoDCNSApps,Cloud_Only,"[motion_detector_1, object_detector_1, object_tracker_1]",{'104.9656503580618'}
LowResTwoDCNSApps,Cloud_Only,"[object_tracker_1, PTZ_CONTROL_1]",{'105.11199999999991'}
LowResTwoDCNSApps,Cloud_Only,MOTION_VIDEO_STREAM,{'0.19661904761901497'}
LowResTwoDCNSApps,Cloud_Only,DETECTED_OBJECT,{'0.3678631219447652'}
LowResTwoDCNSApps,Cloud_Only,OBJECT_LOCATION,{'0.27859186583767126'}
LowResTwoDCNSApps,Cloud_Only,CAMERA,{'4.099999999999909'}
LowResTwoDCNSApps,Cloud_Only,OBJECT_LOCATION_1,{'0.09680618935225709'}
LowResTwoDCNSApps,Cloud_Only,MOTION_VIDEO_STREAM_1,{'0.35391022443233117'}
LowResTwoDCNSApps,Cloud_Only,CAMERA_1,{'4.099999999999909'}
LowResTwoDCNSApps,Cloud_Only,DETECTED_OBJECT_1,{'0.27857142857146755'}
TwoDCNSApps,ModuleBased_Router_Proxy,"[motion_detector, object_detector, object_tracker]",{'248.1791470299466'}
TwoDCNSApps,ModuleBased_Router_Proxy,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
TwoDCNSApps,ModuleBased_Router_Proxy,"[motion_detector_1, object_detector_1, object_tracker_1]",{'262.1808672727269'}
TwoDCNSApps,ModuleBased_Router_Proxy,"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'}
TwoDCNSApps,ModuleBased_Router_Proxy,MOTION_VIDEO_STREAM,{'484.980463980464'}
TwoDCNSApps,ModuleBased_Router_Proxy,DETECTED_OBJECT,{'0.1111607142856883'}
TwoDCNSApps,ModuleBased_Router_Proxy,OBJECT_LOCATION,{'1.627590770637704'}
TwoDCNSApps,ModuleBased_Router_Proxy,CAMERA,{'4.099999999999909'}
TwoDCNSApps,ModuleBased_Router_Proxy,OBJECT_LOCATION_1,{'1.6185906097050233'}
TwoDCNSApps,ModuleBased_Router_Proxy,MOTION_VIDEO_STREAM_1,{'484.49921398046394'}
TwoDCNSApps,ModuleBased_Router_Proxy,CAMERA_1,{'4.099999999999909'}
TwoDCNSApps,ModuleBased_Router_Proxy,DETECTED_OBJECT_1,{'0.1111607142856883'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,"[motion_detector, object_detector, object_tracker]",{'325.8241901408453'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,"[motion_detector_1, object_detector_1, object_tracker_1]",{'262.15763818181864'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,MOTION_VIDEO_STREAM,{'633.5701824711828'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,DETECTED_OBJECT,{'0.12232144764495388'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,OBJECT_LOCATION,{'1.6224480535011025'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,CAMERA,{'898.7701825360457'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,OBJECT_LOCATION_1,{'1.5348634546051274'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,MOTION_VIDEO_STREAM_1,{'484.51018758870475'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,CAMERA_1,{'4.099999999999909'}
HighResTwoDCNSApps,ModuleBased_Router_Proxy,DETECTED_OBJECT_1,{'0.11116071428569338'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,"[motion_detector, object_detector, object_tracker]",{'9.168445921003963'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,"[object_tracker, PTZ_CONTROL]",{'5.110999999999937'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,"[motion_detector_1, object_detector_1, object_tracker_1]",{'262.0788018181809'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,"[object_tracker_1, PTZ_CONTROL_1]",{'5.1109999999999305'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,MOTION_VIDEO_STREAM,{'5.0'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,DETECTED_OBJECT,{'0.08768526785706854'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,OBJECT_LOCATION,{'1.6300110717306413'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,CAMERA,{'4.099999999999909'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,OBJECT_LOCATION_1,{'2.9578763239906465'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,MOTION_VIDEO_STREAM_1,{'484.49921398046394'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,CAMERA_1,{'4.099999999999909'}
LowResTwoDCNSApps,ModuleBased_Router_Proxy,DETECTED_OBJECT_1,{'0.10126562499999384'}
