Scenario,Edge_20msec,Router_only_20msec,Router_Proxy_20msec,Router_Cloud_20msec,Proxy_Only_20msec,Proxy_Cloud_20msec,Cloud_Only_20msec,Cloud_Based_20msec,Edge_15msec,Router_only_15msec,Router_Proxy_15msec,Router_Cloud_15msec,Proxy_Only_15msec,Proxy_Cloud_15msec,Cloud_Only_15msec,Cloud_Based_15msec,Edge_10msec,Router_only_10msec,Router_Proxy_10msec,Router_Cloud_10msec,Proxy_Only_10msec,Proxy_Cloud_10msec,Cloud_Only_10msec,Cloud_Based_10msec,Router_only_5msec,Router_Proxy_5msec,Router_Cloud_5msec,Proxy_Only_5msec,Proxy_Cloud_5msec,Cloud_Only_5msec,Edge_2*cmp_20msec,Router_only_2*cmp_20msec,Router_Proxy_2*cmp_20msec,Router_Cloud_2*cmp_20msec,Proxy_Only_2*cmp_20msec,Proxy_Cloud_2*cmp_20msec,Cloud_Only_2*cmp_20msec,Cloud_Based_2*cmp_20msec,Edge_2*nw_20msec,Router_only_2*nw_20msec,Router_Proxy_2*nw_20msec,Router_Cloud_2*nw_20msec,Proxy_Only_2*nw_20msec,Proxy_Cloud_2*nw_20msec,Cloud_Only_2*nw_20msec,Cloud_Based_2*nw_20msec,Edge_2*cmp_2*nw_20msec,Router_only_2*cmp_2*nw_20msec,Router_Proxy_2*cmp_2*nw_20msec,Router_Cloud_2*cmp_2*nw_20msec,Proxy_Only_2*cmp_2*nw_20msec,Proxy_Cloud_2*cmp_2*nw_20msec,Cloud_Only_2*cmp_2*nw_20msec,Cloud_Based_2*cmp_2*nw_20msec
M_1 Networking CO2 (kg),0,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000801,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833
M_2 Networking CO2 (kg),0,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000801,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833
M_3 Networking CO2 (kg),0.0000074,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0.0000074,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000745,0.00000801,0.00000741,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0.00000758,0.0000074,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000744,0.00000786,0.00000741,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833,0.00000741,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000748,0.00000833
Delay_1,4.3,5.36,7.36,107.36,7.44,107.44,104.78,0.43,4.3,5.36,7.36,107.36,7.44,107.44,104.78,0.43,4.3,5.36,7.36,107.36,7.44,107.44,104.78,0.43,5.36,7.36,107.36,7.44,107.44,104.78,20.1,8.21,10.22,110.22,10.29,110.3,104.96,0.47,4.3,5.56,7.56,107.57,7.72,107.72,104.91,4.99,20.1,8.41,10.42,110.43,10.57,110.58,105.26,0.52
Delay_2,1.1,3.11,5.11,105.11,5.11,105.11,105.11,105.11,1.1,3.11,5.11,105.11,5.11,105.11,105.11,105.11,1.1,3.11,5.11,105.11,5.11,105.11,105.11,105.11,3.11,5.11,105.11,5.11,105.11,105.11,1.1,3.11,5.11,105.11,5.11,105.11,105.11,105.11,1.1,3.12,5.12,105.12,5.12,105.12,105.12,105.12,1.1,3.12,5.12,105.12,5.12,105.12,105.12,105.12
Total Delay (msec),5.4,8.47,12.47,212.47,12.55,212.55,209.89,105.54,5.4,8.47,12.47,212.47,12.55,212.55,209.89,105.54,5.4,8.47,12.47,212.47,12.55,212.55,209.89,105.54,8.47,12.47,212.47,12.55,212.55,209.89,21.2,11.32,15.33,215.33,15.41,215.41,210.07,105.58,5.4,8.68,12.69,212.69,12.84,212.85,210.03,110.11,21.2,11.53,15.54,215.55,15.7,215.71,210.38,105.64
Continuum Computation Energy (j),2933.55,1249.366,1249.95,1405.406,1255.306,1405.31,1625.13,1744.058,3910.432,1665.416,1666.413,1873.735,1673.975,1874.028,2166.015,2324.36,5867.1,2498.732,2500.064,2811.128,2511.093,2811.253,3250.26,3488.116,4998.383,5001.213,5623.52,5023.585,5624.057,6501.402,6982.268,2408.85,2409.598,2583.637,2415.271,2583.858,2789.841,2326.657,2933.55,1249.202,1250.698,1423.031,1261.727,1423.156,1503.665,31064.803,6982.268,2408.85,2410.346,2601.262,2421.692,2601.704,2887.177,2557.869
Continuum Networking Energy (j),91.219,293.495,312.335,331.834,636.019,655.518,965.856,7317.992,102.899,305.625,330.453,355.709,761.948,787.204,1200.885,9668.276,126.438,330.064,366.885,403.622,1014.253,1050.99,1671.649,14375.921,403.381,476.163,547.376,1770.809,1842.022,3083.236,91.219,293.495,312.317,331.816,636.019,655.518,965.856,7317.992,126.438,362.99,400.671,439.668,1048.039,1087.036,1707.712,14406.041,126.438,362.99,400.635,439.632,1048.039,1087.036,1707.712,14406.041
Continuum Computation CO2 Emission (kg),0.000387,0.000165,0.000165,0.000185,0.000166,0.000185,0.000214,0.00023,0.000516,0.00022,0.00022,0.000247,0.000221,0.000247,0.000286,0.000307,0.000774,0.00033,0.00033,0.000371,0.000331,0.000371,0.000429,0.00046,0.00066,0.00066,0.000742,0.000663,0.000742,0.000858,0.000921,0.000318,0.000318,0.000341,0.000319,0.000341,0.000368,0.000307,0.000387,0.000165,0.000165,0.000188,0.000166,0.000188,0.000198,0.0041,0.000921,0.000318,0.000318,0.000343,0.00032,0.000343,0.000381,0.000337
Continuum Networking CO2 Emission (kg),0.000012,0.0000387,0.0000412,0.0000438,0.0000839,0.0000865,0.000127,0.000966,0.0000136,0.0000403,0.0000436,0.0000469,0.000101,0.000104,0.000158,0.00128,0.0000167,0.0000436,0.0000484,0.0000533,0.000134,0.000139,0.000221,0.0019,0.0000532,0.0000628,0.0000722,0.000234,0.000243,0.000407,0.000012,0.0000387,0.0000412,0.0000438,0.0000839,0.0000865,0.000127,0.000966,0.0000167,0.0000479,0.0000529,0.000058,0.000138,0.000143,0.000225,0.0019,0.0000167,0.0000479,0.0000529,0.000058,0.000138,0.000143,0.000225,0.0019
